Respondent_ID,Timestamp,Language,User_Type,Region,Satisfaction
1,29:34.7,R,Student,South,2
2,29:34.7,C++,Professional,East,2
3,29:34.7,C++,Professional,West,4
4,29:34.7,Java,Researcher,West,3
5,29:34.7,Java,Researcher,West,5
6,29:34.7,Java,Researcher,North,1
7,29:34.7,JavaScript,Professional,East,3
8,29:34.7,Go,Student,South,5
9,29:34.7,C++,Student,West,1
10,29:34.7,JavaScript,Professional,North,1
11,29:34.7,R,Student,West,1
12,29:34.7,Go,Professional,South,5
13,29:34.7,Go,Researcher,East,1
14,29:34.7,JavaScript,Professional,East,3
15,29:34.7,Python,Researcher,West,1
16,29:34.7,C++,Student,West,5
17,29:34.7,JavaScript,Student,North,4
18,29:34.7,Go,Researcher,East,1
19,29:34.7,Python,Researcher,East,1
20,29:34.7,Go,Professional,North,2
21,29:34.7,JavaScript,Student,South,5
22,29:34.7,Python,Professional,North,3
23,29:34.7,R,Student,North,2
24,29:34.7,Go,Student,East,2
25,29:34.7,C++,Professional,South,2
26,29:34.7,C++,Researcher,South,5
27,29:34.7,Python,Researcher,East,4
28,29:34.7,Java,Researcher,North,4
29,29:34.7,Go,Researcher,West,5
30,29:34.7,Java,Student,East,1
31,29:34.7,Java,Student,North,2
32,29:34.7,R,Researcher,North,5
33,29:34.7,Go,Researcher,North,4
34,29:34.7,R,Student,West,5
35,29:34.7,JavaScript,Professional,North,4
36,29:34.7,Go,Professional,West,4
37,29:34.7,R,Professional,North,5
38,29:34.7,Python,Professional,North,2
39,29:34.7,C++,Researcher,West,1
40,29:34.7,Go,Researcher,North,5
41,29:34.7,C++,Professional,East,4
42,29:34.7,Python,Researcher,East,4
43,29:34.7,Python,Professional,West,4
44,29:34.7,Java,Professional,West,3
45,29:34.7,Java,Student,South,3
46,29:34.7,Java,Professional,North,2
47,29:34.7,R,Researcher,North,3
48,29:34.7,Go,Student,South,4
49,29:34.7,Python,Researcher,West,4
50,29:34.7,Java,Researcher,West,5
51,29:34.7,C++,Student,South,2
52,29:34.7,JavaScript,Student,West,4
53,29:34.7,R,Researcher,South,3
54,29:34.7,R,Researcher,South,1
55,29:34.7,JavaScript,Researcher,North,5
56,29:34.7,Go,Researcher,East,4
57,29:34.7,Java,Student,East,3
58,29:34.7,R,Researcher,West,1
59,29:34.7,Python,Researcher,North,5
60,29:34.7,C++,Student,East,5
61,29:34.7,Java,Student,West,3
62,29:34.7,Java,Researcher,East,3
63,29:34.7,C++,Researcher,South,5
64,29:34.7,C++,Student,South,1
65,29:34.7,Go,Student,West,4
66,29:34.7,JavaScript,Researcher,East,5
67,29:34.7,Python,Professional,South,2
68,29:34.7,R,Researcher,East,5
69,29:34.7,JavaScript,Researcher,North,4
70,29:34.7,R,Student,North,3
71,29:34.7,Go,Researcher,North,1
72,29:34.7,Go,Student,South,2
73,29:34.7,Go,Researcher,West,4
74,29:34.7,R,Professional,North,1
75,29:34.7,Java,Professional,East,2
76,29:34.7,R,Researcher,North,5
77,29:34.7,Python,Student,West,2
78,29:34.7,JavaScript,Researcher,South,2
79,29:34.7,R,Professional,West,4
80,29:34.7,Go,Researcher,North,1
81,29:34.7,Go,Researcher,South,2
82,29:34.7,JavaScript,Researcher,North,4
83,29:34.7,Go,Professional,North,3
84,29:34.7,C++,Professional,East,5
85,29:34.7,Python,Researcher,South,5
86,29:34.7,R,Student,East,3
87,29:34.7,C++,Student,East,4
88,29:34.7,JavaScript,Student,East,1
89,29:34.7,Python,Student,North,1
90,29:34.7,Go,Student,South,1
91,29:34.7,C++,Student,North,2
92,29:34.7,C++,Researcher,East,1
93,29:34.7,Python,Student,North,4
94,29:34.7,JavaScript,Researcher,North,3
95,29:34.7,C++,Researcher,West,3
96,29:34.7,C++,Researcher,West,4
97,29:34.7,Go,Student,East,2
98,29:34.7,JavaScript,Student,West,4
99,29:34.7,JavaScript,Student,East,5
100,29:34.7,Python,Researcher,West,3
